ticker,test_block_1,test_block_2,purged_blocks,train_trades,test_trades,test_net_pnl,test_mean_pnl,test_win_rate_pct,test_profit_factor,test_trade_sharpe
NIFTY,1,2,"0,1,2,3",16,11,18639.066250000047,1694.4605681818225,72.72727272727273,3.331668464918462,0.520908982623938
NIFTY,1,3,"0,1,2,3,4",11,12,1319.2365000000882,109.93637500000735,50.0,1.1011037240751,0.03797336156576252
NIFTY,1,4,"0,1,2,3,4,5",6,11,12978.101250000094,1179.827386363645,63.63636363636363,3.2071703991813143,0.42739016679268954
NIFTY,1,5,"0,1,2,4,5,6",6,11,3427.391250000106,311.58102272728235,54.54545454545454,1.2815294206552734,0.09251476461210559
NIFTY,1,6,"0,1,2,5,6,7",11,12,7268.4987500000825,605.7082291666735,58.333333333333336,1.5884544385419386,0.18714030450882138
NIFTY,2,3,"1,2,3,4",11,11,-7365.1347499999565,-669.5577045454506,36.36363636363637,0.6317213453165647,-0.19894889430281085
NIFTY,2,4,"1,2,3,4,5",6,10,4293.730000000051,429.37300000000516,50.0,1.3346519428218966,0.11984313157878908
NIFTY,2,5,"1,2,3,4,5,6",0,10,-5256.979999999939,-525.6979999999938,40.0,0.7251201623454785,-0.1344531225965569
NIFTY,2,6,"1,2,3,5,6,7",5,11,-1415.8724999999597,-128.71568181817815,45.45454545454545,0.9266475053146187,-0.03376643573228139
NIFTY,3,4,"2,3,4,5",12,11,-13026.09974999991,-1184.1908863636281,27.27272727272727,0.2716708245719334,-0.4964746196432655
NIFTY,3,5,"2,3,4,5,6",6,11,-22576.809749999902,-2052.4372499999913,18.181818181818183,0.06626833468575816,-0.927596404932694
NIFTY,3,6,"2,3,4,5,6,7",6,12,-18735.702249999926,-1561.308520833327,25.0,0.23078085523698863,-0.613749153599023
NIFTY,4,5,"3,4,5,6",11,10,-10917.944999999892,-1091.7944999999893,30.0,0.3581736132074207,-0.3604972391574326
NIFTY,4,6,"3,4,5,6,7",11,11,-7076.837499999913,-643.3488636363558,36.36363636363637,0.588278436227912,-0.20866422563767806
NIFTY,5,6,"4,5,6,7",17,11,-16627.547499999902,-1511.5952272727184,27.27272727272727,0.29192107247408466,-0.48420540999801986
