ticker,scheduled_entry_date,entry_date,weekly_expiry,monthly_expiry,spot,spot_timestamp,atm_strike,spot_available,skip_reason,gross_pnl,fixed_cost,net_pnl,legs_completed,equity,drawdown,drawdown_pct,year_month
SENSEX,2025-10-03,2025-10-03,2025-10-09,2025-10-30,80787.08,2025-10-03 09:30:00+05:30,80800.0,True,,3257.2049999999963,160.0,3097.2049999999963,4,153097.205,0.0,0.0,2025-10
SENSEX,2025-10-17,2025-10-17,2025-10-23,2025-10-30,83531.01,2025-10-17 09:30:00+05:30,83500.0,True,,-3010.279999999997,160.0,-3170.279999999997,4,149926.925,-3170.279999999999,-0.020707628202618067,2025-10
SENSEX,2025-10-24,2025-10-24,2025-10-30,2025-10-30,84501.84,2025-10-24 09:30:00+05:30,84500.0,True,,-2121.1000000000004,160.0,-2281.1000000000004,4,147645.825,-5451.379999999976,-0.03560731236079706,2025-10
SENSEX,2025-10-31,2025-10-31,2025-11-06,2025-11-27,84586.64,2025-10-31 09:30:00+05:30,84600.0,True,,-4598.73,160.0,-4758.73,4,142887.095,-10210.109999999986,-0.06669037491572749,2025-10
SENSEX,2025-11-07,2025-11-07,2025-11-13,2025-11-27,82731.84,2025-11-07 09:30:00+05:30,82700.0,True,,1587.7500000000073,160.0,1427.7500000000073,4,144314.845,-8782.359999999986,-0.05736460048372527,2025-11
SENSEX,2025-11-14,2025-11-14,2025-11-20,2025-11-27,84293.16,2025-11-14 09:30:00+05:30,84300.0,True,,-166.64499999999316,160.0,-326.6449999999932,4,143988.2,-9109.004999999976,-0.059498179604258405,2025-11
SENSEX,2025-11-21,2025-11-21,2025-11-27,2025-11-27,85523.83,2025-11-21 09:30:00+05:30,85500.0,True,,-75.28999999999724,160.0,-235.28999999999724,4,143752.91,-9344.294999999984,-0.06103504632889922,2025-11
SENSEX,2025-11-28,2025-11-28,2025-12-04,2025-12-24,85784.38,2025-11-28 09:30:00+05:30,85800.0,True,,-1004.0149999999868,160.0,-1164.014999999987,4,142588.89500000002,-10508.309999999969,-0.068638157045388,2025-11
SENSEX,2025-12-05,2025-12-05,2025-12-11,2025-12-24,85244.76,2025-12-05 09:30:00+05:30,85200.0,True,,-1479.5549999999969,160.0,-1639.5549999999969,4,140949.34000000003,-12147.864999999962,-0.07934739892867382,2025-12
SENSEX,2025-12-12,2025-12-12,2025-12-18,2025-12-24,85234.93,2025-12-12 09:30:00+05:30,85200.0,True,,-871.9399999999932,160.0,-1031.9399999999932,4,139917.40000000005,-13179.804999999935,-0.08608782243934454,2025-12
SENSEX,2025-12-19,2025-12-19,2025-12-24,2025-12-24,84995.89,2025-12-19 09:30:00+05:30,85000.0,True,,147.5659999999989,160.0,-12.434000000001106,4,139904.96600000004,-13192.238999999943,-0.08616903881426141,2025-12
SENSEX,2025-12-26,2025-12-26,2026-01-01,2026-01-29,85344.02,2025-12-26 09:30:00+05:30,85300.0,True,,-7118.054999999996,160.0,-7278.054999999996,4,132626.91100000005,-20470.293999999936,-0.13370782307880758,2025-12
SENSEX,2026-01-02,2026-01-02,2026-01-08,2026-01-29,85368.57,2026-01-02 09:30:00+05:30,85400.0,True,,-2914.1150000000016,160.0,-3074.1150000000016,4,129552.79600000005,-23544.40899999994,-0.15378732093770064,2026-01
SENSEX,2026-01-16,2026-01-16,2026-01-22,2026-01-29,83643.94,2026-01-16 09:30:00+05:30,83600.0,True,,-3610.309999999994,160.0,-3770.309999999994,4,125782.48600000005,-27314.71899999994,-0.17841422382596694,2026-01
SENSEX,2026-01-23,2026-01-23,2026-01-29,2026-01-29,82404.22,2026-01-23 09:30:00+05:30,82400.0,True,,-481.5349999999971,160.0,-641.5349999999971,4,125140.95100000006,-27956.253999999928,-0.1826046007828812,2026-01
SENSEX,2026-02-06,2026-02-06,2026-02-12,2026-02-26,83101.87,2026-02-06 09:30:00+05:30,83100.0,True,,-1591.0049999999992,160.0,-1751.0049999999992,4,123389.94600000005,-29707.258999999933,-0.19404181154058253,2026-02
SENSEX,2026-02-13,2026-02-13,2026-02-19,2026-02-26,82921.27,2026-02-13 09:30:00+05:30,82900.0,True,,896.0800000000036,160.0,736.0800000000036,4,124126.02600000006,-28971.17899999993,-0.18923388575251865,2026-02
SENSEX,2026-02-20,2026-02-20,2026-02-26,2026-02-26,82348.87,2026-02-20 09:30:00+05:30,82300.0,True,,-2805.3149999999987,160.0,-2965.3149999999987,4,121160.71100000005,-31936.493999999933,-0.20860272400139468,2026-02
SENSEX,2026-02-27,2026-02-27,2026-03-05,2026-03-25,81897.18,2026-02-27 09:30:00+05:30,81900.0,True,,-8169.489999999994,160.0,-8329.489999999994,4,112831.22100000006,-40265.983999999924,-0.2630092691764029,2026-02
SENSEX,2026-03-06,2026-03-06,2026-03-12,2026-03-25,79669.59,2026-03-06 09:30:00+05:30,79700.0,True,,-906.3399999999856,160.0,-1066.3399999999856,4,111764.88100000008,-41332.323999999906,-0.26997438653435846,2026-03
SENSEX,2026-03-13,2026-03-13,2026-03-19,2026-03-25,75512.82,2026-03-13 09:30:00+05:30,75500.0,True,,274.1250000000073,160.0,114.12500000000728,4,111879.00600000008,-41218.198999999906,-0.26922894510059747,2026-03
SENSEX,2026-03-20,2026-03-20,2026-03-25,2026-03-25,75083.46,2026-03-20 09:30:00+05:30,75100.0,True,,-538.8399999999965,160.0,-698.8399999999965,4,111180.16600000008,-41917.0389999999,-0.27379362673537966,2026-03
SENSEX,2026-04-10,2026-04-10,2026-04-16,2026-04-30,77154.97,2026-04-10 09:30:00+05:30,77200.0,True,,7397.365000000007,160.0,7237.365000000007,4,118417.5310000001,-34679.67399999988,-0.22652062132682227,2026-04
SENSEX,2026-04-17,2026-04-17,2026-04-23,2026-04-30,78084.96,2026-04-17 09:30:00+05:30,78100.0,True,,1052.1850000000068,160.0,892.1850000000068,4,119309.7160000001,-33787.488999999885,-0.22069304922973532,2026-04
SENSEX,2026-04-24,2026-04-24,2026-04-30,2026-04-30,77172.87,2026-04-24 09:30:00+05:30,77200.0,True,,-217.2699999999932,160.0,-377.2699999999932,4,118932.44600000011,-34164.758999999875,-0.22315730061825678,2026-04
SENSEX,2026-05-08,2026-05-08,2026-05-14,2026-05-27,77525.32,2026-05-08 09:30:00+05:30,77500.0,True,,-3040.154999999995,160.0,-3200.154999999995,4,115732.29100000011,-37364.91399999987,-0.24406006628272459,2026-05
SENSEX,2026-05-15,2026-05-15,2026-05-21,2026-05-27,75616.91,2026-05-15 09:30:00+05:30,75600.0,True,,1312.055000000004,160.0,1152.055000000004,4,116884.34600000012,-36212.858999999866,-0.2365350758689544,2026-05
SENSEX,2026-05-22,2026-05-22,2026-05-27,2026-05-27,75546.11,2026-05-22 09:30:00+05:30,75500.0,True,,-150.01000000000158,160.0,-310.0100000000016,4,116574.33600000013,-36522.86899999986,-0.238559998531651,2026-05
